id,group,name_zh,hypothesis,total_return,ann_return,maxdd,win_rate,n_trades,avg_win,avg_loss,payoff,profit_factor,sharpe,calmar,avg_hold_days,avg_trade_pnl,excess_vs_bh,excess_vs_d3,d_win_rate,d_maxdd,n_days,years
V_TRAIL,V,D3 進出＋最高價 −2.5×ATR 移動停利,假設：賺到的波段用移動停利鎖住，回撤會小；可能提早下車少吃趨勢。,0.884932,0.135854,-0.317578,0.416667,24,0.168807,-0.058908,2.865604,2.046860,0.621527,0.427782,10.625000,0.035973,0.427183,-0.830361,-0.041667,0.013281,1254,4.976200
V_TIME15,V,D3 進出＋持有滿 15 日時間出場,假設：D3 平均抱約 12 日，15 日還不出代表波段沒走，先走避免變長虧。,2.240774,0.266539,-0.314900,0.458333,24,0.212701,-0.062118,3.424163,2.897369,1.004947,0.846423,10.875000,0.063841,1.783024,0.525480,0.000000,0.015959,1254,4.976200
V_COOL2,V,D3 進出＋連虧 2 筆跳過下一訊號,假設：連續挨打後立刻再進容易在壞環境加碼，冷卻一筆可改善體感與回撤。,0.958027,0.144572,-0.351391,0.400000,20,0.212616,-0.065257,3.258129,2.172086,0.646847,0.411427,11.600000,0.045892,0.500278,-0.757266,-0.058333,-0.020532,1254,4.976200
V_QUALITY,V,組合濾網：BASIS＋陽線＋TREND 向上,假設：預先指定的品質組合（不是掃參），同時滿足站上中軌、當日收紅、動能向上。,1.002028,0.149695,-0.367245,0.437500,16,0.197662,-0.055676,3.550208,2.761273,0.722846,0.407616,12.750000,0.055159,0.544279,-0.713265,-0.020833,-0.036386,1254,4.976200
CL_SMA50200,CL,雙均線 SMA50／SMA200 金叉死叉,經典趨勢：50 上穿 200 進、50 下穿 200 出。規則公開、不貼 THT／BX 語意。,-0.349470,-0.082777,-0.577386,0.250000,4,0.074963,-0.148279,0.505556,0.168519,-0.052873,-0.143366,124.000000,-0.092468,-0.807219,-2.064763,-0.208333,-0.246527,1254,4.976200
CL_EMA2050,CL,雙均線 EMA20／EMA50 金叉死叉,較快的均線交叉，對照 SMA50／200 是否太鈍。,0.003671,0.000737,-0.522058,0.300000,10,0.438042,-0.132137,3.315049,1.420735,0.195308,0.001411,61.100000,0.038916,-0.454078,-1.711622,-0.158333,-0.191199,1254,4.976200
CL_DONCHIAN,CL,海龜簡化：20 日高突破進／10 日低出,收盤突破前 20 日最高進，收盤跌破前 10 日最低出（確認收盤、次日開盤成交）。,0.989000,0.148187,-0.381583,0.450000,20,0.210409,-0.081095,2.594587,2.122844,0.574833,0.388348,22.850000,0.050082,0.531251,-0.726293,-0.008333,-0.050725,1254,4.976200
CL_RSI14_50,CL,RSI(14) 上穿 30 進／RSI＞50 出,標準 Wilder RSI14 超賣反彈；出場門檻 50（偏早鎖利）。,-0.087165,-0.018160,-0.545780,0.700000,10,0.070230,-0.154385,0.454903,1.061441,0.062573,-0.033274,18.500000,0.002846,-0.544915,-1.802458,0.241667,-0.214921,1254,4.976200
CL_RSI14_70,CL,RSI(14) 上穿 30 進／RSI＞70 出,同上進場，出場改 RSI＞70，讓反彈多跑一段。,0.371467,0.065537,-0.529211,0.666667,6,0.181386,-0.157388,1.152474,2.304948,0.355186,0.123838,73.500000,0.068461,-0.086283,-1.343827,0.208333,-0.198353,1254,4.976200
CL_TRENDVOL,CL,趨勢＋波動：收盤＞SMA50 且 ATR% 不過高,站上 50 日均且 ATR% 低於近 60 日 80 分位才做多；跌破 SMA50 或波動失控出。,0.236537,0.043589,-0.513576,0.243902,41,0.157000,-0.035707,4.396916,1.418360,0.301939,0.084874,13.560976,0.011295,-0.221213,-1.478756,-0.214431,-0.182718,1254,4.976200
F,F,Buy&Hold 對照,分析區間開盤買進、期末收盤賣出，與 v1 相同規則。,0.457750,0.078681,-0.736322,1.000000,1,0.457750,,,inf,0.424643,0.106857,1253.000000,0.457750,0.000000,,,,1254,4.976200
